Test Case ID,Module,Step Name / Page Name,Field / Feature Name,Test Scenario,Test Data,Expected Result,Actual Result,Status,Test Type,Screenshot
TC-LOGIN-001,Login,Login Page,Email Field,Valid login with correct credentials,demo@nexusai.app / password123,Redirected to / after login,User authenticated and redirected to /,Pass,Functional,
TC-LOGIN-002,Login,Login Page,Email Field,Login with empty email field,(empty) | Test1234,"""Email is required"" shown","""Email is required"" validation error visible",Pass,Negative,
TC-LOGIN-003,Login,Login Page,Password Field,Login with empty password field,test@nexusai.com | (empty),"""Password is required"" shown",Expected validation error not found,Fail,Negative,TC-LOGIN-003_no_error.png
TC-LOGIN-004,Login,Login Page,Email Field,Login with invalid email format,notanemail | Test1234,"""Enter a valid email"" shown","""Enter a valid email"" validation error visible",Pass,Negative,
TC-LOGIN-005,Login,Login Page,Password Field,Login with password shorter than 6 chars,test@nexusai.com | ab1,"""at least 6 characters"" shown",Password min-length error visible,Pass,Negative,
TC-LOGIN-006,Login,Login Page,Root Error Alert,Wrong credentials show API error alert,test@nexusai.com | WrongPass1,Error alert banner appears,"Error alert visible: ""Invalid credentials.""",Pass,Negative,
TC-LOGIN-007,Login,Login Page,Password Visibility Toggle,Toggle password visibility on/off,password: MySecret1,Password toggles between hidden and visible,Password field changed to type=text; characters now visible,Pass,Functional,
TC-LOGIN-008,Login,Login Page,Forgot Password Link,Navigate to forgot-password from login,N/A,Redirected to /forgot-password,Stayed on http://localhost:3000/login,Fail,Navigation,TC-LOGIN-008_no_nav.png
TC-LOGIN-009,Login,Login Page,Create Account Link,Navigate to signup from login,N/A,Redirected to /signup,Successfully navigated to /signup,Pass,Navigation,
TC-LOGIN-010,Login,Login Page,Continue as Guest Button,Continue to chat without signing in,N/A,Redirected to /chat,Successfully navigated to /chat as guest,Pass,Functional,
TC-LOGIN-011,Login,Login Page,Submit Button Loading State,Sign In button shows spinner on submit,demo@nexusai.app / password123,Button disabled with CircularProgress spinner,Login was fast; spinner not captured but redirect succeeded (indeterminate),Blocked,UI,
TC-LOGIN-012,Login,Login Page,SQL Injection Input,SQL injection in email field is safely handled,' OR 1=1 -- | anything,Validation error; no SQL exposed,Validation error shown; no SQL injection executed,Pass,Security,
TC-LOGIN-013,Login,Login Page,XSS Payload Input,XSS payload in email is safely handled,<script>alert('xss')</script>,No script executes; validation error shown,XSS not executed; validation error shown,Pass,Security,
TC-LOGIN-014,Login,Login Page,Responsive Layout - Mobile,Login form renders correctly on 375px mobile,viewport: 375x667,Form fully visible; no horizontal scroll,All form elements visible on 375px; no horizontal overflow,Pass,UI,
TC-LOGIN-015,Login,Login Page,Auth Layout Branding Panel,Left branding panel renders on desktop,viewport: 1440x900,Branding panel with stats visible,Branding panel content found on desktop viewport,Pass,UI,
TC-SIGNUP-001,Signup,Signup Page,Full Name Field,Valid signup with all correct fields,John Doe / qa_test_1775302123701@test.com / Strong1234,Registered and redirected to /,User registered and redirected to /,Pass,Functional,
TC-SIGNUP-002,Signup,Signup Page,Full Name Field,Submit with empty name field,(empty) | new@nexusai.com | Strong1234,"""Name is required"" shown",Validation error not found,Fail,Negative,TC-SIGNUP-002_no_error.png
TC-SIGNUP-003,Signup,Signup Page,Full Name Field,Submit with name shorter than 2 chars,A | new@nexusai.com | Strong1234,"""Name must be at least 2 characters"" shown",Min-length name error visible,Pass,Negative,
TC-SIGNUP-004,Signup,Signup Page,Email Field,Submit with invalid email format,John Doe | invalidemail | Strong1234,"""Enter a valid email"" shown","""Enter a valid email"" validation error visible",Pass,Negative,
TC-SIGNUP-005,Signup,Signup Page,Password Field,Password shorter than 8 chars,John Doe | new@nexusai.com | Short1,"""at least 8 characters"" shown",Password min-length 8 error visible,Pass,Negative,
TC-SIGNUP-006,Signup,Signup Page,Password Field,Password missing uppercase letter,John Doe | new@nexusai.com | lowercase1,"""Must contain at least one uppercase letter"" shown",Uppercase requirement error visible,Pass,Negative,
TC-SIGNUP-007,Signup,Signup Page,Password Field,Password missing a number,John Doe | new@nexusai.com | NoNumbers,"""Must contain at least one number"" shown",Number requirement error visible,Pass,Negative,
TC-SIGNUP-008,Signup,Signup Page,Confirm Password Field,Mismatched confirm password,John Doe | new@nexusai.com | Strong1234 | Different1,"""Passwords must match"" shown","""Passwords must match"" error visible",Pass,Negative,
TC-SIGNUP-009,Signup,Signup Page,Password Visibility Toggle,Toggle password visibility,password: MySecure8,Password toggles to visible text,Password field changed to text type after toggle,Pass,Functional,
TC-SIGNUP-010,Signup,Signup Page,API Error Alert,Signup with already registered email,Demo User | demo@nexusai.app | Strong1234,Error alert for duplicate email,"Alert visible: ""Email already registered.""",Pass,Negative,
TC-SIGNUP-011,Signup,Signup Page,Sign In Link,Navigate to login from signup,N/A,Redirected to /login,Stayed on http://localhost:3000/signup,Fail,Navigation,TC-SIGNUP-011_no_nav.png
TC-SIGNUP-012,Signup,Signup Page,Continue as Guest Button,Navigate to chat without registering,N/A,Redirected to /chat,Successfully navigated to /chat as guest,Pass,Functional,
TC-SIGNUP-013,Signup,Signup Page,Long Name Input,Submit with 255-character name,name: A*255,No crash; form submits or validation shown,Page handled long name without crash,Pass,Edge Case,
TC-SIGNUP-014,Signup,Signup Page,Special Characters in Name,Special chars in name; no XSS,name: J@hn #D0e!,Name accepted or validated; no XSS,Special chars handled without XSS execution,Pass,Edge Case,
TC-SIGNUP-015,Signup,Signup Page,Submit Button Loading State,Create Account button shows spinner,Jane Smith / qa_load_1775302176925@test.com,Button disabled with spinner,CircularProgress spinner observed,Pass,UI,
TC-NAV-001,Navigation,Global Navbar,Logo Click,Clicking NexusAI logo navigates to home,N/A,Redirected to /,Logo click navigated to / (home),Pass,Navigation,
TC-NAV-002,Navigation,Global Navbar,Active Nav Link Highlight,Active route nav link shows highlighted pill,User on /chat,Chat Hub link shows active pill,Chat navigation link rendered; active state present in page,Pass,UI,
TC-NAV-003,Navigation,Global Navbar,Sign Out Flow,Authenticated user can sign out,demo@nexusai.app,Redux cleared; redirected to /login,Avatar button not found; user may not be logged in,Blocked,Functional,TC-NAV-003_no_avatar.png
TC-NAV-004,Navigation,Global Navbar,Avatar Dropdown Menu Items,Avatar menu shows Dashboard and Settings,demo@nexusai.app,"Dropdown shows Dashboard, Settings, Sign Out",Avatar button not found; user may not be authenticated,Blocked,UI,
TC-NAV-005,Navigation,Global Navbar,Dashboard Link in Avatar Menu,Clicking Dashboard in avatar menu navigates,demo@nexusai.app,Navigated to /dashboard,Avatar button not found,Blocked,Navigation,
TC-NAV-006,Navigation,Global Navbar,Language Selector,Language selector opens dropdown,N/A,Language dropdown opens showing options,Language dropdown opened successfully,Pass,Functional,
