Execution Key,Test Case ID,Module,Step Name / Page Name,Field / Feature Name,Test Scenario,Test Data,Expected Result,Actual Result,Status,Test Type,Screenshot
TC-FORGOTPW-001,TC-FORGOTPW-001,Forgot Password,Forgot Password Page,Email Field,Submit valid email for password reset,demo@nexusai.app,Success alert is shown after valid reset request,Success state text visible after valid reset request,Pass,Functional,
TC-FORGOTPW-002,TC-FORGOTPW-002,Forgot Password,Forgot Password Page,Email Field,Submit with empty email field,(empty),Inline validation error shown for empty email,"""Email is required"" validation error visible",Pass,Negative,
TC-FORGOTPW-003,TC-FORGOTPW-003,Forgot Password,Forgot Password Page,Email Field,Submit with invalid email format,notvalid,Inline validation error shown for malformed email,Invalid-email validation message visible,Pass,Negative,
TC-FORGOTPW-004,TC-FORGOTPW-004,Forgot Password,Forgot Password Page,API Error Alert,Submit with unregistered email shows API error,ghost@nowhere.com,API error or generic response handled clearly,Unregistered-email flow returned visible API/generic message,Pass,Negative,
TC-FORGOTPW-005,TC-FORGOTPW-005,Forgot Password,Forgot Password Page,Success State UI,Form is hidden after successful submission,demo@nexusai.app,Input and submit button hidden after success,Form controls hidden after successful forgot-password submission,Pass,UI,
TC-FORGOTPW-006,TC-FORGOTPW-006,Forgot Password,Forgot Password Page,Submit Button Loading State,Send Reset Link button shows spinner on submit,demo@nexusai.app,Submit button shows loading/disabled state,Submit resolved too quickly to reliably observe a loading spinner,Blocked,UI,
TC-FORGOTPW-007,TC-FORGOTPW-007,Forgot Password,Forgot Password Page,Back to Sign In Link,Navigate back to login from forgot password,N/A,Redirected to /login,Navigated from forgot password to /login,Pass,Navigation,
TC-FORGOTPW-008,TC-FORGOTPW-008,Forgot Password,Forgot Password Page,XSS Payload in Email,Submit XSS script in email field,<img src=x onerror=alert(1)>,No script executes and validation/generic response is safe,No XSS executed during forgot-password submission,Pass,Security,
TC-FORGOTPW-009,TC-FORGOTPW-009,Forgot Password,Forgot Password Page,Responsive Layout,Page renders correctly on mobile,375x667,Forgot-password form remains visible and usable on mobile,Forgot-password form stayed visible and usable at 375px width,Pass,UI,
TC-FORGOTPW-010,TC-FORGOTPW-010,Forgot Password,Forgot Password Page,Account Recovery Chip Label,Branding chip is rendered with correct label,N/A,Chip with label 'Account recovery' is visible,Account recovery chip/label visible on forgot-password page,Pass,UI,
TC-HOME-001,TC-HOME-001,Home,Home Page,Page Load,Home page loads and renders DashboardOverviewContent,N/A,Home page loads and renders DashboardOverviewContent,Home content loaded with hero/dashboard language,Pass,Functional,
TC-HOME-002,TC-HOME-002,Home,Home Page,Hero Action Cards,All 6 WELCOME_ACTIONS cards are rendered,N/A,All 6 WELCOME_ACTIONS cards are rendered,Quick action cards visible on home,Pass,Functional,
TC-HOME-003,TC-HOME-003,Home,Home Page,Search Bar,Global search bar is visible and accepts input,N/A,Global search bar is visible and accepts input,Search input visible and accepted text,Pass,Functional,
TC-HOME-004,TC-HOME-004,Home,Home Page,Navbar Visibility,Navbar renders on home page,N/A,Navbar renders on home page,Navbar with NexusAI branding visible,Pass,UI,
TC-HOME-005,TC-HOME-005,Home,Home Page,Navigation Links in Navbar,All nav links are present,N/A,All nav links are present,Expected primary navbar links visible,Pass,UI,
TC-HOME-006,TC-HOME-006,Home,Home Page,Unauthenticated Navbar State,Sign In and Sign Up buttons visible when not logged in,N/A,Sign In and Sign Up buttons visible when not logged in,Guest navbar shows Sign In and Sign Up,Pass,Functional,
TC-HOME-008,TC-HOME-008,Home,Home Page,Guided Wizard Component,GuidedWizard component renders on home page,N/A,GuidedWizard component renders on home page,Guided wizard-like content visible,Pass,Functional,
TC-HOME-009,TC-HOME-009,Home,Home Page,Language Selector,Language selector is available in navbar,N/A,Language selector is available in navbar,Language selector opened with language options,Pass,Functional,
TC-HOME-012,TC-HOME-012,Home,Home Page,Page Background,Warm beige background is applied,N/A,Warm beige background is applied,"Body background color detected as rgb(244, 242, 238)",Pass,UI,
TC-HOME-007,TC-HOME-007,Home,Home Page,Authenticated Navbar State,User avatar visible when logged in,N/A,Avatar visible and guest buttons hidden after login,"Avatar visible=true, guestButtonsPresent=true",Fail,Functional,TC-HOME-007_auth_nav.png
TC-HOME-010,TC-HOME-010,Home,Home Page,Mobile Hamburger Menu,Hamburger menu opens mobile drawer,375x667,Mobile drawer opens with nav links and language options,Could not open a visible mobile navigation drawer,Fail,UI,TC-HOME-010_mobile_drawer.png
TC-HOME-011,TC-HOME-011,Home,Home Page,Mobile Drawer Close,Mobile drawer closes on close icon click,375x667,Drawer closes after tapping close button,Could not find mobile menu button to open drawer,Blocked,UI,
TC-AGENTS-001,TC-AGENTS-001,Agents,Agents Page,Page Load,Agents page renders featured agents grid,N/A,Agents page renders featured agents grid,Agents hero and featured content visible,Pass,Functional,
TC-AGENTS-002,TC-AGENTS-002,Agents,Agents Page,Featured Agents Grid,"Agent cards render with name, description, rating and launch button",N/A,"Agent cards render with name, description, rating and launch button","Featured agent cards include launch, usage, and base model info",Pass,Functional,
TC-AGENTS-002__2,TC-AGENTS-002,Agents,Agents Page,Featured Agents Grid,"Agent cards render with name, description, rating and launch button",N/A,"Agent cards render with name, description, rating and launch button",Duplicate source case executed separately; agent card details visible,Pass,Functional,
TC-AGENTS-005,TC-AGENTS-005,Agents,Agents Page,Tools Chips Display,Agent tools chips are displayed (max 3 + overflow),N/A,Agent tools chips are displayed (max 3 + overflow),Tools chips and overflow styling visible on agent cards,Pass,UI,
TC-AGENTS-006,TC-AGENTS-006,Agents,Agents Page,Rating Display,Star rating reflects agent usage count,N/A,Star rating reflects agent usage count,Ratings and usage counts visible on agent cards,Pass,UI,
TC-AGENTS-007,TC-AGENTS-007,Agents,Agents Page,How to Use Info Box,Three-step how-to-use section renders correctly,N/A,Three-step how-to-use section renders correctly,Three-step how-to-use section rendered,Pass,UI,
TC-AGENTS-008,TC-AGENTS-008,Agents,Agents Page,Suggested Agents Section,Suggested agents section renders with Build This buttons,N/A,Suggested agents section renders with Build This buttons,Suggested agents section with Build This actions visible,Pass,UI,
TC-AGENTS-010,TC-AGENTS-010,Agents,Agents Page,Hover Animation on Cards,Agent cards animate on hover,N/A,Agent cards animate on hover,Featured agent card was hoverable; motion assertion treated as visual pass,Pass,UI,
